Series,Category_Key,Best_Model,CV_RMSE,CV_MAPE,Date,Forecast
B_G_F,B_G_F,SeasonalNaive,346991.27,12.68,2017-05,1847982.0
B_G_F,B_G_F,SeasonalNaive,346991.27,12.68,2017-06,3103029.0
B_G_F,B_G_F,SeasonalNaive,346991.27,12.68,2017-07,2109194.0
B_G_F,B_G_F,SeasonalNaive,346991.27,12.68,2017-08,2357012.0
A_F_L,A_F_L,Nixtla_OptTheta,160611.39,7.41,2016-09,871269.11
A_F_L,A_F_L,Nixtla_OptTheta,160611.39,7.41,2016-10,568211.55
A_F_L,A_F_L,Nixtla_OptTheta,160611.39,7.41,2016-11,735983.14
A_F_L,A_F_L,Nixtla_OptTheta,160611.39,7.41,2016-12,1513634.18
A_F_L,A_F_L,Nixtla_OptTheta,160611.39,7.41,2017-01,318713.58
A_F_L,A_F_L,Nixtla_OptTheta,160611.39,7.41,2017-02,366043.74
A_F_L,A_F_L,Nixtla_OptTheta,160611.39,7.41,2017-03,358507.33
A_F_L,A_F_L,Nixtla_OptTheta,160611.39,7.41,2017-04,211382.68
A_F_L,A_F_L,Nixtla_OptTheta,160611.39,7.41,2017-05,168997.03
A_F_L,A_F_L,Nixtla_OptTheta,160611.39,7.41,2017-06,161450.66
A_F_L,A_F_L,Nixtla_OptTheta,160611.39,7.41,2017-07,71509.61
A_F_L,A_F_L,Nixtla_OptTheta,160611.39,7.41,2017-08,3118.64
C_E_U,C_E_U,Nixtla_AutoETS,453167.29,12.77,2016-09,3786256.65
C_E_U,C_E_U,Nixtla_AutoETS,453167.29,12.77,2016-10,2670125.47
C_E_U,C_E_U,Nixtla_AutoETS,453167.29,12.77,2016-11,3929378.66
C_E_U,C_E_U,Nixtla_AutoETS,453167.29,12.77,2016-12,12231787.03
C_E_U,C_E_U,Nixtla_AutoETS,453167.29,12.77,2017-01,3751554.65
C_E_U,C_E_U,Nixtla_AutoETS,453167.29,12.77,2017-02,3105073.96
C_E_U,C_E_U,Nixtla_AutoETS,453167.29,12.77,2017-03,3660254.24
C_E_U,C_E_U,Nixtla_AutoETS,453167.29,12.77,2017-04,3065220.13
C_E_U,C_E_U,Nixtla_AutoETS,453167.29,12.77,2017-05,3397421.93
C_E_U,C_E_U,Nixtla_AutoETS,453167.29,12.77,2017-06,4808047.93
C_E_U,C_E_U,Nixtla_AutoETS,453167.29,12.77,2017-07,4816880.46
